City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Virginia Beach,US,70.0,clear sky,36.85,-75.98,Hilton Virginia Beach Oceanfront
4,Avarua,CK,75.2,overcast clouds,-21.21,-159.78,Paradise Inn
10,Saint George,US,81.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
12,Puerto Ayora,EC,77.0,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
13,Rikitea,PF,72.75,clear sky,-23.12,-134.97,Pension Maro'i
14,Kamina,CD,73.13,clear sky,-8.74,24.99,Guest House la Grace
15,Zlobin,HR,69.01,broken clouds,45.29,14.65,Sobe Zlobin
21,Kaoma,ZM,73.4,clear sky,-14.78,24.8,KAOMA AIRPORT
23,Mazagao,BR,95.0,scattered clouds,-0.12,-51.29,Casa Lima Santos
24,Mahebourg,MU,69.8,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
26,Sagua La Grande,CU,87.8,broken clouds,22.81,-80.08,Hotel Amaro
33,Arraial Do Cabo,BR,84.2,clear sky,-22.97,-42.03,Pousada Porto Praia
35,Bengkulu,ID,74.7,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
38,Cabedelo,BR,84.2,few clouds,-6.98,-34.83,Lua Mansa Pousada
39,Namatanai,PG,77.04,broken clouds,-3.67,152.43,Namatanai Hotel
46,Kimbe,PG,72.52,overcast clouds,-5.55,150.14,Kimbe Bay Hotel
49,Mana,GF,85.73,overcast clouds,5.66,-53.78,LE SAMANA
50,Touros,BR,82.4,broken clouds,-5.2,-35.46,INN NEW HORIZON
54,Cayenne,GF,86.0,scattered clouds,4.93,-52.33,Hôtel Le Dronmi
56,Trinidad,BO,96.8,few clouds,-14.83,-64.9,Hotel Piesta
57,Hilo,US,77.0,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
58,Mathbaria,BD,78.73,overcast clouds,22.29,89.96,বাহাদুরের চায়ের ষ্টোর
59,Rosa Zarate,EC,83.79,light rain,0.33,-79.47,Piscinas y Recepciones Hecalash
60,Kavieng,PG,80.91,overcast clouds,-2.57,150.8,Nusa Island Retreat
61,Seddon,AU,69.01,clear sky,-37.81,144.89,AKOM AT DOCKLANDS
63,Josefina,PH,77.0,overcast clouds,8.2,123.53,NP Spring Resort
65,Auchi,NG,74.07,overcast clouds,7.07,6.27,LECKY PLACE & HOTEL
66,San Buenaventura,MX,86.0,clear sky,27.08,-101.53,Hotel Gran Plaza
70,Kasangulu,CD,87.8,light rain,-4.59,15.17,Hôtel le Relais
71,Meulaboh,ID,76.33,overcast clouds,4.14,96.13,Kost Pria
72,Ponta Do Sol,PT,73.4,scattered clouds,32.67,-17.1,Hotel do Campo
74,San Rafael Del Sur,NI,87.8,scattered clouds,11.85,-86.44,Hospedaje El Chino
78,Kralendijk,BQ,80.6,overcast clouds,12.15,-68.27,Divi Flamingo Beach Resort & Casino
82,Salinas,US,93.0,haze,36.68,-121.66,Good Nite Inn Salinas Monterey
83,Winnemucca,US,75.2,clear sky,40.97,-117.74,Winners Inn Casino
84,Teknaf,BD,79.54,overcast clouds,20.86,92.31,Magnum Engineering & Construction
93,Flagstaff,US,78.01,clear sky,35.2,-111.65,Drury Inn & Suites Flagstaff
98,Najran,SA,77.0,clear sky,17.49,44.13,محمد هادي ال فطيح
99,Vaini,TO,71.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
102,Rockport,US,82.99,clear sky,28.02,-97.05,Holiday Inn Express & Suites Rockport - Bay View
107,Nyimba,ZM,86.61,clear sky,-14.56,30.81,Dali Dali Lodge
110,Ajdabiya,LY,87.6,clear sky,30.76,20.23,الحاج سليمان الشترة
111,Vila Velha,BR,87.01,clear sky,-20.33,-40.29,Hotel Vitória Palace
112,Mahajanga,MG,80.6,scattered clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
113,Butaritari,KI,80.29,clear sky,3.07,172.79,Isles Sunset Lodge
117,Port Keats,AU,80.17,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
