City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Atuona,-9.8,-139.03,78.53,76,1,21.14,PF,2020-10-01 19:19:22
1,Poopo,-18.37,-66.97,66.2,39,40,8.05,BO,2020-10-01 19:19:23
2,Barrow,71.29,-156.79,33.8,92,90,17.22,US,2020-10-01 19:19:23
3,Severo-Kurilsk,50.68,156.12,47.52,86,100,10.67,RU,2020-10-01 19:19:23
4,Kapaa,22.08,-159.32,80.01,73,1,8.05,US,2020-10-01 19:19:24
5,Kingsport,36.55,-82.56,71.01,56,40,10.29,US,2020-10-01 19:18:04
6,Kaduqli,11.02,29.72,76.32,71,0,3.42,SD,2020-10-01 19:19:24
7,Elizabeth City,36.29,-76.25,79.0,54,1,5.84,US,2020-10-01 19:19:24
8,Kungurtug,50.6,97.52,25.14,93,100,4.59,RU,2020-10-01 19:19:25
9,Matadi,-5.82,13.45,81.91,60,31,8.77,CD,2020-10-01 19:19:25
10,Qaanaaq,77.48,-69.36,16.03,80,0,7.52,GL,2020-10-01 19:19:26
11,Ostrovnoy,68.05,39.51,49.68,82,100,11.81,RU,2020-10-01 19:19:27
12,Lebu,-37.62,-73.65,51.93,62,0,10.29,CL,2020-10-01 19:19:27
13,Yar-Sale,66.83,70.83,43.88,88,100,8.41,RU,2020-10-01 19:19:28
14,Hermanus,-34.42,19.23,55.99,74,98,10.0,ZA,2020-10-01 19:19:28
15,Padang,-0.95,100.35,76.96,83,100,4.32,ID,2020-10-01 19:15:29
16,Punta Arenas,-53.15,-70.92,37.4,44,20,16.11,CL,2020-10-01 19:19:23
17,Ancud,-41.87,-73.82,46.99,70,75,12.75,CL,2020-10-01 19:19:29
18,Kodiak,57.79,-152.41,51.8,87,90,17.22,US,2020-10-01 19:19:29
19,Bafq,31.61,55.41,68.29,25,0,5.5,IR,2020-10-01 19:19:29
20,Cape Town,-33.93,18.42,57.99,66,20,26.4,ZA,2020-10-01 19:19:30
21,Bluff,-46.6,168.33,48.0,70,100,7.0,NZ,2020-10-01 19:19:30
22,Puerto Colombia,10.99,-74.95,84.2,83,75,6.93,CO,2020-10-01 19:18:29
23,Hundorp,61.56,9.94,43.0,98,82,5.99,NO,2020-10-01 19:19:30
24,Narsaq,60.92,-46.05,48.2,36,75,16.11,GL,2020-10-01 19:19:31
25,Batagay,67.63,134.63,27.95,96,95,3.06,RU,2020-10-01 19:19:31
26,Urumqi,43.8,87.6,44.6,48,85,2.24,CN,2020-10-01 19:19:32
27,Tasiilaq,65.61,-37.64,35.6,94,75,27.51,GL,2020-10-01 19:19:33
28,Cayhagan,9.67,122.43,79.97,76,94,1.21,PH,2020-10-01 19:19:33
29,Whitehorse,60.72,-135.05,53.6,50,40,12.75,CA,2020-10-01 19:19:34
30,Ulaanbaatar,47.91,106.88,21.2,79,91,4.21,MN,2020-10-01 19:19:03
31,Atar,20.52,-13.05,104.0,26,0,16.11,MR,2020-10-01 19:19:34
32,Vaini,-21.2,-175.2,71.6,100,75,9.17,TO,2020-10-01 19:19:35
33,Dikson,73.51,80.55,37.36,79,100,20.29,RU,2020-10-01 19:19:35
34,Leningradskiy,69.38,178.42,35.74,88,100,9.84,RU,2020-10-01 19:19:35
35,Komsomolskiy,40.43,71.72,53.6,71,100,6.93,UZ,2020-10-01 19:19:36
36,Slave Lake,55.28,-114.77,48.2,66,1,5.82,CA,2020-10-01 19:19:36
37,Les Cayes,18.2,-73.75,85.91,69,94,10.78,HT,2020-10-01 19:19:36
38,Westport,41.14,-73.36,73.4,49,20,14.99,US,2020-10-01 19:17:03
39,Bredasdorp,-34.53,20.04,57.2,62,98,18.34,ZA,2020-10-01 19:19:37
40,Carnarvon,-24.87,113.63,64.4,88,40,10.29,AU,2020-10-01 19:19:37
41,Maarianhamina,60.1,19.93,53.6,93,100,6.93,AX,2020-10-01 19:19:37
42,Porto Novo,6.5,2.6,80.6,78,40,12.75,BJ,2020-10-01 19:19:38
43,Namatanai,-3.67,152.43,76.8,91,100,11.72,PG,2020-10-01 19:19:38
44,Upernavik,72.79,-56.15,21.72,87,0,16.22,GL,2020-10-01 19:19:38
45,Provideniya,64.38,-173.3,38.71,81,100,9.98,RU,2020-10-01 19:19:39
46,Hobart,-42.88,147.33,57.2,54,1,18.34,AU,2020-10-01 19:14:53
47,Bengkulu,-3.8,102.27,76.15,89,100,7.76,ID,2020-10-01 19:19:39
48,Albany,42.6,-73.97,73.99,34,12,7.49,US,2020-10-01 19:15:03
49,Chulym,55.1,80.96,39.15,80,59,0.45,RU,2020-10-01 19:19:40
50,Mataura,-46.19,168.86,48.0,70,1,7.0,NZ,2020-10-01 19:19:40
51,Nago,26.59,127.98,78.8,88,1,4.7,JP,2020-10-01 19:19:40
52,Marsabit,2.33,37.99,74.35,50,31,17.94,KE,2020-10-01 19:19:41
53,Aracati,-4.56,-37.77,85.66,59,17,15.86,BR,2020-10-01 19:19:41
54,Ushuaia,-54.8,-68.3,28.4,92,75,16.11,AR,2020-10-01 19:17:22
55,Sao Filipe,14.9,-24.5,80.19,82,11,6.85,CV,2020-10-01 19:19:41
56,Lavrentiya,65.58,-171.0,36.91,89,100,9.53,RU,2020-10-01 19:19:42
57,Taltal,-25.4,-70.48,63.75,59,22,9.22,CL,2020-10-01 19:19:42
58,Necochea,-38.55,-58.74,54.0,80,0,10.0,AR,2020-10-01 19:19:42
59,Mahebourg,-20.41,57.7,68.0,88,40,4.7,MU,2020-10-01 19:19:43
60,Kaa-Khem,51.68,94.73,31.6,87,100,4.65,RU,2020-10-01 19:19:43
